order_id,has_dispute,num_disputes,total_recoverable,disputes,carrier,order_date
ORD-000001,True,1,94.87,"[{'rule_id': 'invalid_pod', 'rule_name': 'Preuve de Livraison Invalide', 'priority': 'MEDIUM', 'recoverable_amount': 94.87, 'success_probability': 0.7, 'expected_recovery': 66.41, 'legal_basis': 'Défaut de preuve de remise conforme (CGV transporteur)'}]",Chronopost,2025-12-21
ORD-000002,False,0,0.0,[],DHL,2025-10-12
ORD-000003,False,0,0.0,[],Colissimo,2025-12-11
ORD-000004,False,0,0.0,[],Colissimo,2025-10-01
ORD-000005,False,0,0.0,[],UPS,2025-10-12
ORD-000006,True,1,65.64,"[{'rule_id': 'invalid_pod', 'rule_name': 'Preuve de Livraison Invalide', 'priority': 'MEDIUM', 'recoverable_amount': 65.64, 'success_probability': 0.7, 'expected_recovery': 45.94, 'legal_basis': 'Défaut de preuve de remise conforme (CGV transporteur)'}]",UPS,2025-10-16
ORD-000007,False,0,0.0,[],Chronopost,2025-11-07
ORD-000008,False,0,0.0,[],Mondial Relay,2025-10-21
ORD-000009,False,0,0.0,[],Colissimo,2025-11-01
ORD-000010,False,0,0.0,[],Chronopost,2025-10-30
ORD-000011,False,0,0.0,[],Colissimo,2025-11-10
ORD-000012,False,0,0.0,[],DHL,2025-12-11
ORD-000013,False,0,0.0,[],DHL,2025-10-18
ORD-000014,False,0,0.0,[],DHL,2025-11-24
ORD-000015,True,2,10.6,"[{'rule_id': 'invalid_pod', 'rule_name': 'Preuve de Livraison Invalide', 'priority': 'MEDIUM', 'recoverable_amount': 6.62, 'success_probability': 0.7, 'expected_recovery': 4.64, 'legal_basis': 'Défaut de preuve de remise conforme (CGV transporteur)'}, {'rule_id': 'wrong_gps', 'rule_name': 'GPS Incohérent (Livraison contestable)', 'priority': 'MEDIUM', 'recoverable_amount': 3.97, 'success_probability': 0.65, 'expected_recovery': 2.58, 'legal_basis': 'Preuve de livraison géolocalisée non conforme'}]",La Poste,2025-10-02
ORD-000016,False,0,0.0,[],La Poste,2025-10-01
ORD-000017,False,0,0.0,[],La Poste,2025-11-08
ORD-000018,False,0,0.0,[],DHL,2026-01-08
ORD-000019,False,0,0.0,[],Mondial Relay,2026-01-15
ORD-000020,True,1,6.91,"[{'rule_id': 'invalid_pod', 'rule_name': 'Preuve de Livraison Invalide', 'priority': 'MEDIUM', 'recoverable_amount': 6.91, 'success_probability': 0.7, 'expected_recovery': 4.84, 'legal_basis': 'Défaut de preuve de remise conforme (CGV transporteur)'}]",DHL,2026-01-06
ORD-000021,False,0,0.0,[],Colissimo,2025-11-24
ORD-000022,False,0,0.0,[],DHL,2025-11-26
ORD-000023,False,0,0.0,[],DHL,2025-10-30
ORD-000024,False,0,0.0,[],DHL,2025-10-10
ORD-000025,False,0,0.0,[],DHL,2025-12-13
ORD-000026,False,0,0.0,[],UPS,2025-11-15
ORD-000027,False,0,0.0,[],Colissimo,2025-10-14
ORD-000028,False,0,0.0,[],Chronopost,2025-11-01
ORD-000029,False,0,0.0,[],Colissimo,2025-10-12
ORD-000030,False,0,0.0,[],UPS,2025-10-22
ORD-000031,False,0,0.0,[],UPS,2025-11-06
ORD-000032,False,0,0.0,[],DHL,2025-10-08
